,Date,Open,High,Low,Close,Adj Close,Volume
98,2020-05-22,6.48,6.48,6.27,6.41,6.379265,69586200
99,2020-05-26,6.79,6.94,6.79,6.8,6.767395,129510700
100,2020-05-27,7.25,7.43,7.09,7.29,7.255046,147750900
101,2020-05-28,7.49,7.49,6.74,6.78,6.747491,138714800
102,2020-05-29,6.56,6.72,6.44,6.57,6.538498,129300100
103,2020-06-01,6.58,6.82,6.49,6.76,6.727587,75178700
104,2020-06-02,6.9,7.18,6.86,7.05,7.016197,113575400
105,2020-06-03,7.22,7.42,7.18,7.36,7.32471,122819500
106,2020-06-04,7.31,7.75,7.17,7.74,7.702888,125193900
107,2020-06-05,8.45,8.56,7.83,7.88,7.842216,167811600
108,2020-06-08,8.22,8.57,8.11,8.46,8.419436,158459100
109,2020-06-09,8.19,8.21,7.9,8.02,7.981545,117645200
110,2020-06-10,7.97,7.98,7.52,7.61,7.573512,116954500
111,2020-06-11,7.06,7.35,6.84,6.95,6.916676,124502900
112,2020-06-12,7.34,7.43,7.08,7.25,7.215238,100985700
113,2020-06-15,6.95,7.35,6.85,7.24,7.205285,102163800
114,2020-06-16,7.73,7.74,7.29,7.47,7.434182,98161400
115,2020-06-17,7.5,7.53,7.2,7.24,7.205285,75211300
116,2020-06-18,7.13,7.32,7.02,7.28,7.245094,78398200
117,2020-06-19,7.42,7.45,7.09,7.15,7.115717,88679500
118,2020-06-22,7.17,7.18,6.96,7.04,7.006245,78289600
119,2020-06-23,7.09,7.13,6.97,7.0,6.966436,80583900
120,2020-06-24,6.9,6.9,6.52,6.53,6.49869,144666000
121,2020-06-25,6.5,6.7,6.42,6.68,6.64797,73946600
122,2020-06-26,6.62,6.65,6.45,6.48,6.458599,89409600
123,2020-06-29,6.57,6.8,6.5,6.8,6.777541,75277300
124,2020-06-30,6.71,6.87,6.66,6.83,6.807442,69517100
125,2020-07-01,6.93,7.01,6.71,6.74,6.71774,120630800
126,2020-07-02,6.86,7.04,6.81,6.82,6.797476,74151800
127,2020-07-06,6.98,7.08,6.89,7.0,6.976881,75429400
128,2020-07-07,6.89,6.89,6.75,6.76,6.737673,62433700
129,2020-07-08,6.82,6.87,6.72,6.86,6.837344,64439300
130,2020-07-09,6.83,6.83,6.58,6.58,6.558268,74748000
131,2020-07-10,6.54,6.72,6.53,6.69,6.667904,63423400
132,2020-07-13,6.76,6.82,6.64,6.7,6.677872,68492400
133,2020-07-14,6.66,6.89,6.57,6.88,6.857277,69509200
134,2020-07-15,7.09,7.21,7.03,7.14,7.116418,89827100
135,2020-07-16,7.06,7.18,6.99,7.05,7.026716,52345300
136,2020-07-17,7.06,7.15,6.98,7.07,7.046649,59958000
